,Title,Occupation,Company,Company Location,Specs,Link
71,Senior Data Analyst,"['Full Time', 'On-site']",Goldentex ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT) · Power BI,https://wuzzuf.net/jobs/p/pDuDzSwwSi9g-Senior-Data-Analyst-Goldentex-Sharqia-Egypt
72,Data Management Lead,"['Full Time', 'Remote']",REI Call Center ,"Alexandria, Egypt ",Manager · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Management · Real Estate · Information Technology (IT) · Data · Automation · Visualization · Database SQL Server · Management,https://wuzzuf.net/jobs/p/8l0tQm7tFrTf-Data-Management-Lead-REI-Call-Center-Alexandria-Egypt
73,Senior Business Strategy Leader (Hybrid),"['Full Time', 'Hybrid']",Quanvex ,"Downtown, Cairo, Egypt ",Manager · 8+ Yrs of Exp · Business Development · Business Development · Analysis,https://wuzzuf.net/jobs/p/EwTvA0Yj3DuZ-Senior-Business-Strategy-Leader-Hybrid-Quanvex-Cairo-Egypt
74,Data Analyst,"['Full Time', 'Remote']",Options ,"Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Analyst · Computer Science · Python · SQL · AWS · Information Technology (IT),https://wuzzuf.net/jobs/p/L0E2Pq7S2bqQ-Data-Analyst-Options-Cairo-Egypt
75,Data Analyst,"['Full Time', 'On-site']",EGEC ,"Haram, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Engineering - Other · analytical · Analysis · Computer Science · Reporting · Data Analysis · Communication skills,https://wuzzuf.net/jobs/p/JzwfRgWZxmHL-Data-Analyst-EGEC-Giza-Egypt
76,Data Analyst,"['Full Time', 'On-site']",Carina Wear ,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Microsoft Power BI · business · Analysis · Computer Science · Big Data Analytics · Power BI,https://wuzzuf.net/jobs/p/BzOoVQ8CU4Zp-Data-Analyst-Carina-Wear-Cairo-Egypt
77,Market Researcher,"['Full Time', 'On-site']",Confidential ,"Nasr City, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · analytical · Business Analysis · Communication · Market Research · Communication skills · Business Research,https://wuzzuf.net/jobs/p/em9RkqbdPr8B-Market-Researcher-Cairo-Egypt
78,English Content Writer,"['Full Time', 'Hybrid']",Confidential ,"Dokki, Giza, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · English Literature · Writing · Editing · Content Writing · Arabic · SEO · English · Linguistics,https://wuzzuf.net/jobs/p/2r6rocbR3Xtk-English-Content-Writer-Giza-Egypt
79,Internal Auditor,"['Full Time', 'On-site']",Sharm Dreams Group ,"Manial, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · Accounting/Finance · Auditing · Audit · Financial Analysis · Finance · auditor,https://wuzzuf.net/jobs/p/54euQRgGwD2J-Internal-Auditor-Sharm-Dreams-Group-Cairo-Egypt
80,BI Data Analyst,"['Full Time', 'Hybrid']",Confidential ,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · BI Analyst · Data Analyst · excel · Power BI · Python · Data Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/y4g4QcDGxdQh-BI-Data-Analyst-Cairo-Egypt
81,Franchise Expert.,"['Full Time', 'Hybrid']",Confidential ,"Cairo, Egypt ",Manager · 3 - 5 Yrs of Exp · Accounting/Finance · Business Development · Analyst/Research · Business Development · Business Planning · Market Strategy · Financial Data Analysis,https://wuzzuf.net/jobs/p/HnX3R8NuZghg-Franchise-Expert-Cairo-Egypt
82,Business analyst / Product manager (Gaming),"['Full Time', 'Remote']",Digital pen ,"Cairo, Egypt ",Manager · 4 - 7 Yrs of Exp · IT/Software Development · Project/Program Management · Business Analysis · Product Management · mobile games · Computer Science · product manager · Information Technology (IT) · ba,https://wuzzuf.net/jobs/p/9cG2NtU76bpf-Business-analyst-Product-manager-Gaming-Digital-pen-Cairo-Egypt
83,Sales Analyst,"['Full Time', 'On-site']",PICO ,"Zamalek, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · Analyst/Research · Analysis · analytical · FMCG · Sales Analysis,https://wuzzuf.net/jobs/p/OCriDXNFbWtN-Sales-Analyst-PICO-Cairo-Egypt
84,Financial Analyst,"['Full Time', 'On-site']",Kitchino ,"New Cairo, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Accounting · Auditing · CFA · Commerce · CPA · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/2K8qepIIhPxp-Financial-Analyst-Kitchino-Cairo-Egypt
85,IT Manager,"['Full Time', 'On-site']",Confidential ,"Heliopolis, Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IT · Information Technology (IT) · Networks · terraform · Ansible · Linux · AWS · Azure DevOps Server,https://wuzzuf.net/jobs/p/ibRQOYcP70fn-IT-Manager-Cairo-Egypt
86,Finance Manager,"['Full Time', 'On-site']",EgyptExpress ,"Cairo, Egypt ",Senior Management · 20 - 20 Yrs of Exp · Accounting/Finance · Finance · Finance Analysis · Finance Management,https://wuzzuf.net/jobs/p/DiK2qU6jVA7L-Finance-Manager-EgyptExpress-Cairo-Egypt
87,Data Quality Analyst,"['Full Time', 'On-site']",The Address Investments for Real Estate Consultancy ,"New Cairo, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · Data · Data Analysis · data quality · Information Technology (IT),https://wuzzuf.net/jobs/p/Xf9v8OKDhUnC-Data-Quality-Analyst-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt
88,Financial Analyst - CMA Certified - SAP User,"['Full Time', 'Hybrid']",Daam  ,"Maadi, Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · Accounting/Finance · Administration · Analyst/Research · Analysis · Accounting · CMA · Finance · Analyst · SAP · Financial Analysis,https://wuzzuf.net/jobs/p/510MvEQWv6g1-Financial-Analyst---CMA-Certified---SAP-User-Daam-Cairo-Egypt
89,Business Market Researcher,"['Full Time', 'On-site']",MENA INTEL ,"Nasr City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Analyst/Research · Sales/Retail · English · Communication skills · Telesales · Social Media · Market Research · Research Analysis · Customer Support,https://wuzzuf.net/jobs/p/Pl5SmmgFFu2Z-Business-Market-Researcher-MENA-INTEL-Cairo-Egypt
90,Senior Odoo Functional Consultant,"['Full Time', 'On-site']",willys kitchen-Egypt ,"Cairo, Egypt ",Experienced · 5 - 5 Yrs of Exp · males_only · IT/Software Development · Analysis · Computer Science · ERP Implementation · Information Technology (IT) · Odoo · Odoo ERP,https://wuzzuf.net/jobs/p/BktRpbyTvbf4-Senior-Odoo-Functional-Consultant-willys-kitchen-Egypt-Cairo-Egypt
91,Business Development Associate,"['Full Time', 'Hybrid']",Sericom  ,"New Cairo, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · Business Development · Analyst/Research · Strategy/Consulting · Business Development · Analysis,https://wuzzuf.net/jobs/p/1V0CbC176Qud-Business-Development-Associate-Sericom-Cairo-Egypt
92,AR Accountant,"['Full Time', 'On-site']",WUZZUF ,"Maadi, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Accounts Receivable · English · ERP · AR · excel · Finance · Financial · Financial Analysis,https://wuzzuf.net/jobs/p/ubBF8KowHj6N-AR-Accountant-WUZZUF-Cairo-Egypt
93,finance,"['Full Time', 'On-site']",International Medical Group  ,"Mokattam, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Banking · Other · Finance · Financial Analysis · Financial Reports,https://wuzzuf.net/jobs/p/sksBcbFjH6Za-finance-International-Medical-Group-Cairo-Egypt
94,Financial Analyst,"['Full Time', 'On-site']",TSG  ,"Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Finance · SAP · CMA · Accounting · powerpoint · Cloud · Commerce,https://wuzzuf.net/jobs/p/3KVwYDRRxqNx-Financial-Analyst-TSG-Giza-Egypt
95,Accounting Manager,"['Full Time', 'On-site']",Alex outsource ,"Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · CRM · Communication · Business Administration · Accounting Software · excel · Finance · Financial Analysis · Financial Management,https://wuzzuf.net/jobs/p/l84oDnyCHUS3-Accounting-Manager-Alex-outsource-Cairo-Egypt
96,Investment associate -Investment Analyst -Private Equity,"['Full Time', 'Hybrid']",Confidential ,"Maadi, Cairo, Egypt ",Experienced · 5 - 20 Yrs of Exp · Business Development · Operations/Management · Analyst/Research · Investment · Investment Banking · Private Equity –investment associate · Accounting · Financial Analysis · Economics · equity,https://wuzzuf.net/jobs/p/zV67aawqTL8b-Investment-associate--Investment-Analyst--Private-Equity-Cairo-Egypt
97,Internal Auditor - Riyadh KSa,"['Full Time', 'On-site']",Confidential ,"Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · Accounting/Finance · Accounting · Auditing · English · Finance · Financial Analysis · Computer Skills · auditor · Auditing standards,https://wuzzuf.net/jobs/p/aDljpekam3js-Internal-Auditor---Riyadh-KSa-Cairo-Egypt
98,IPC Officer,"['Full Time', 'On-site']",Confidential ,"Badr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Quality · Pharmaceutical · IPC · Pharmaceutical · Analysis · Compliance · Data Analysis · Science,https://wuzzuf.net/jobs/p/YRSyzv83jLbU-IPC-Officer-Cairo-Egypt
99,English call center is hiring (Graduates Only),"['Full Time', 'Shift Based', 'Hybrid']",_VOIS Egypt ,"Cairo, Egypt ",Entry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,https://wuzzuf.net/jobs/p/MRAOzEd5XiDL-English-call-center-is-hiring-Graduates-Only-VOIS-Egypt-Cairo-Egypt
100,Financial Budgeting and Analyst,"['Full Time', 'On-site']",Confidential ,"Mohandessin, Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · Accounting/Finance · Analysis · Cash Flow · Finance · CPA · CMA · Financial Analysis · Financial Management,https://wuzzuf.net/jobs/p/I228NAatrLDQ-Financial-Budgeting-and-Analyst-Giza-Egypt
101,Business Development Manager,"['Full Time', 'On-site']",Smoochy ,"New Cairo, Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · Business Development · Manufacturing/Production · Business Development · Analysis · Communication · Marketing · Sales · business · CRM · Finance,https://wuzzuf.net/jobs/p/4NAxmYrpQnwX-Business-Development-Manager-Smoochy-Cairo-Egypt
102,Product Owner,"['Internship', 'Hybrid']",intrazero ,"Nasr City, Cairo, Egypt ",Entry Level · Business Development · IT/Software Development · Analyst/Research · Business Analysis · Agile · Computer Science · Information Technology (IT) · JIRA · Product · Product Management,https://wuzzuf.net/internship/8DPjJ4SO1tLN-Product-Owner-intrazero-Cairo-Egypt
103,Financial Analyst/Intern,"['Internship', 'On-site']",Intercap Capital  ,"Dokki, Giza, Egypt ",Entry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Accounting · Research · Analysis · Financial Analysis · Financial Reports,https://wuzzuf.net/internship/r8CF91VUhq1J-Financial-AnalystIntern-Intercap-Capital-Giza-Egypt
104,Internal Audit Head - Food Manufacturing background,"['Full Time', 'On-site']",Exception Patisserie ,"6th of October, Giza, Egypt ",Manager · 7 - 10 Yrs of Exp · males_only · Accounting/Finance · Banking · Hospitality/Hotels/Food Services · Food & Beverage · FMCG · Finance · Accounting · Management · Cost Control · Accounting System,https://wuzzuf.net/jobs/p/UpcPOyUTA7Gf-Internal-Audit-Head---Food-Manufacturing-background-Exception-Patisserie-Giza-Egypt
105,Junior Supply Chain Engineer,"['Full Time', 'On-site']",Cellopack for Packaging Industries ,"6th of October, Giza, Egypt ",Experienced · 0 - 3 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Engineering - Mechanical/Electrical · Engineering · Negotiation · Purchasing · Supply Chain · Analysis · Logistics · Procurement,https://wuzzuf.net/jobs/p/3eXPJh1DTOnQ-Junior-Supply-Chain-Engineer-Cellopack-for-Packaging-Industries-Giza-Egypt
106,Group Financial Analyst / Budgeting & Planning Manager,"['Full Time', 'On-site']",Genena Group ,"New Cairo, Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · males_only · Accounting/Finance · CPA · Budgeting · Finance · Forecasting · Financial Analysis,https://wuzzuf.net/jobs/p/UD3YofiqZW6D-Group-Financial-Analyst-Budgeting-Planning-Manager-Genena-Group-Cairo-Egypt
107,Quality Assurance,"['Full Time', 'On-site']",Al Garas  ,"Bourj Alarab, Alexandria, Egypt ",Experienced · 2 - 7 Yrs of Exp · Manufacturing/Production · Quality · Agriculture Engineering · Quality Assurance · Agriculture · Quality Control · Analysis · QA · Communication skills · quality,https://wuzzuf.net/jobs/p/wvWqUKmvHhVJ-Quality-Assurance-Al-Garas-Alexandria-Egypt
108,Senior Planning Engineer,"['Full Time', 'On-site']",Infracon ,"Heliopolis, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Construction Engineering · Construction Field · Construction Management · Construction Project Management · Planning · Analysis · Civil Engineering · Communication,https://wuzzuf.net/jobs/p/ECPehYl4VOuM-Senior-Planning-Engineer-Infracon-Cairo-Egypt
109,Finance & Accounting Manager,"['Full Time', 'On-site']",Mafad Contracting Company   ,"Smouha, Alexandria, Egypt ",Manager · 10 - 20 Yrs of Exp · Accounting/Finance · Administration · Operations/Management · Accounting · Construction · CMA · Finance · Financial Analysis · Financial Management · Reporting,https://wuzzuf.net/jobs/p/ahqc8rEPKotH-Finance-Accounting-Manager-Mafad-Contracting-Company-Alexandria-Egypt
110,Accountant,"['Full Time', 'On-site']",PDEX Company ,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Financial Management · excel · MS Office · Data Entry · Auditing · Analysis · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/xIeJM54jJoMD-Accountant-PDEX-Company-Cairo-Egypt
111,External Auditor,"['Full Time', 'On-site']",Confidential ,"Abdeen, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Accounting/Finance · Tax · Auditing · External Auditing · Accounting · Financial Analysis · Finance,https://wuzzuf.net/jobs/p/lu6csVVouM4m-External-Auditor-Cairo-Egypt
112,accounting,"['Full Time', 'On-site']",TSC - Technology Solution Company  ,"Alexandria, Egypt ",Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Accounting · Financial · Financial Accounting · Financial Management · Financial Analysis · Financial Reports · reports · Compliance,https://wuzzuf.net/jobs/p/Y5p1lVI0K57P-accounting-TSC---Technology-Solution-Company-Alexandria-Egypt
113,Analytical Chemist,"['Full Time', 'On-site']"," ELVAN Knitting, Dyeing and finishing S.A.E ","Bourj Alarab, Alexandria, Egypt ",Entry Level · 1 - 3 Yrs of Exp · males_only · R&D/Science · Analyst/Research · Chemistry · Chemist · Science · Lab Analysis · ICP-MS · GC-MS · HP-DAD · Lab,https://wuzzuf.net/jobs/p/9njAEe2fT6gM-Analytical-Chemist-ELVAN-Knitting-Dyeing-and-finishing-S-A-E-Alexandria-Egypt
114,Accounts Reveivable Accountant,"['Full Time', 'On-site']",Just HR ,"Nasr City, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · Accounting/Finance · Accounting · Bookkeeping · Bookkeeping software · Communication · computer · Accounts Receivable · Finance · Accounts Payable · Computer Skills,https://wuzzuf.net/jobs/p/AcP5BiVBijmf-Accounts-Reveivable-Accountant-Just-HR-Cairo-Egypt
115,Human Resources Generalist,"['Full Time', 'On-site']",IETOS ,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · males_only · Administration · Human Resources · Human Resources (HR) · Management · Performance Appraisal · Recruitment · Attendance · Appraisal · Microsoft Office · Interviews,https://wuzzuf.net/jobs/p/L1G0VfbfTcJ2-Human-Resources-Generalist-IETOS-Cairo-Egypt
116,Mechanical Engineer,"['Full Time', 'On-site']",Confidential ,"Dammam, Saudi Arabia ",Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Analysis · AutoCAD · Design · Engineering · Maintenance · Mechanical · Mechanical Engineering,https://wuzzuf.net/jobs/p/SVLbENYikkBD-Mechanical-Engineer-Dammam-Saudi-Arabia
117,Junior Stock Controller accountant,"['Full Time', 'On-site']",Mersal  ,"Maadi, Cairo, Egypt ",Experienced · 0 - 2 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Accounting · inventory · Stock Control · Fixed Assets · Financial Management · English · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/4Sb6qOU7hOV9-Junior-Stock-Controller-accountant-Mersal-Cairo-Egypt
